"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","","0","0","","0"
"0","","0","Filters","0","1","As the user, I want to change the filters 'Prix croissant' on the website","0"
"0","","0","Searchbar","0","1","As the user, I want to search 'Arc raider' on the website","0"
"0","","0","Searchbar","0","1","As the user, I want to search 'Cybepunk' on the website","0"
