"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Searchbar","0","1","As the user, I want to search 'Arc raider' on the website","0"
"1","","0","","0","0","","0"
"0","","0","Searchbar","0","1","As the user, I want to search 'Cybepunk' on the website","0"
