"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click on the search button, then type 'Cyberpunk' to search for it","11592","testSearchSuccess()","","Thu Jan 22 09:58:51 UTC 2026","broken","Thu Jan 22 09:59:03 UTC 2026","","fr.kevin.cap_enterprise.tests.HomeTest","fr.kevin.cap_enterprise.tests.HomeTest","testSearchSuccess"
"Click on the search button, then type 'Arc raider' to search for it","23638","testSearchFailed()","","Thu Jan 22 09:58:27 UTC 2026","broken","Thu Jan 22 09:58:51 UTC 2026","","fr.kevin.cap_enterprise.tests.HomeTest","fr.kevin.cap_enterprise.tests.HomeTest","testSearchFailed"
